Name,lat,lon,Category,Address,Working Hours,Phone
Araz Mehdiabad-2 Supermarket,40.487946,49.854427,Supermarket,"Mehdiabad qəsəbəsi, 28 May küçəsi (Mehdiabad ticarət mərkəzinin 1-ci mərtəbəsi)",07:00 - 00:00,055-400-85-52
Araz Xırdalan-3 Minimarket,40.457169,49.722996,Mini,"Xırdalan şəh., AAAF Park yaşayış kompleksi",07:00 - 23:00,055-400-85-58
Spar Çay fabriki,40.380623,49.857449,Spar,"Nəsimi rayonu, D.Əliyeva küç. 253",24\7,055-400-85-59
Araz 7-ci mkr-3 Supermarket,40.426880,49.849480,Supermarket,"Binəqədi ray., 7-ci mkr, S.S.Axundov küç. 3C",07:00 - 23:00,055-400-85-60
Araz Sabunçu Superstore,40.444942,49.943359,Superstore,"Sabunçu qəs., Ə.Məmmədəliyev küç. 18A (Sabunçu xəstəxanasının yaxınlığı)",07:00 - 23:00,055-400-85-57
Araz Mingəçevir Supermarket,40.771084,47.041107,Supermarket,"Mingəçevir şəhəri, Heydər Əliyev prospekti",24\7,055-400-85-62
Araz Ceyranbatan Superstore,40.543705,49.663124,Superstore,"Abşeron rayonu, Ceyranbatan qəsəbəsi, Bakı-Sumqayıt şossesi",24\7,055-400-85-63
Araz Zabrat Supermarket,40.476822,49.938290,Supermarket,"Zabrat qəsəbəsi, Neftçilər küçəsi",07:00 - 23:00,055-400-85-56
Araz Günəşli-3 Superstore,40.385021,49.971889,Superstore,"Suraxanı rayonu, Qaraçuxur qəsəbəsi, İlqar Musayev küçəsi, Qartal heykəlinin yaxınlığı",24\7,055-400-85-61
Araz Suraxanı Supermarket,40.432659,50.033588,Supermarket,"Suraxanı rayonu, Yeni Suraxanı ŞTQ 14 iyul ev. 24",07:00 - 23:00,055 400 85 76
Araz Nizami Minimarket,40.377922,49.832870,Mini,"Yasamal rayonu, 422-ci məhəllə, Mirzə İbrahimov küçəsi 53, 1-ci mərtəbə",08:00 - 23:00,055 252 26 07
Araz Kürdəxanı Minimarket,40.547504,49.911598,Mini,"Kürdəxanı qəsəbəsi, Əjdər Məlikov küçəsi",07:30 - 02:00,055 215 12 89
Araz Azadlıq-3 Supermarket,40.401096,49.837719,Supermarket,"Nərimanov rayonu, məhəllə 944. S. Rəhman küçəsi",24\7,055-400-85-12
Araz İnqilab Superstore,40.401550,49.839767,Superstore,Nərimanov rayonu. Akademik Mirəli Qaşqay küçəsi. ev 94. 1-ci mərtəbə,08:00 - 23:00,055-400-85-13
Araz Elmlər Ekspress,40.371037,49.818111,Express,Yasamal rayonu. Ə. Ələkbərov küç. 510,24\7,055 400 85 02
Araz Space Superstore,40.366989,49.815624,Superstore,"Yasamal rayonu, Hüseyn Cavid prospekti 17A",08:00 - 00:00,055-400-85-09
Araz Yasamal Superstore,40.380329,49.811092,Superstore,Yasamal rayonu. Ə. Haqverdiyev küçəsi. məhəllə 574,24\7,055-400-85-10
Araz Statistika-2 Supermarket,40.383720,49.826378,Supermarket,Yasamal rayonu. M. H. Naxçıvani 15,24\7,055-400-85-04
Araz Planet Supermarket,40.412628,49.933979,Supermarket,Nizami rayonu. M. Abbasov 50 B,07:00 - 23:00,055-400-85-15
Araz 7-ci mkr-4 Minimarket,40.430744,49.850845,Mini,"Binəqədi rayonu, 7-ci mkr, Xarici Dairəvi küçəsi bina 22 blok 1",07:00 - 23:00,055-400-85-01
Araz Rəsulzadə Superstore,40.436234,49.844860,Superstore,"Binəqədi rayonu, M.Ə.Rəsulzadə qəsəbəsi, Azadlıq prospekti 157",07:00 - 23:00,055-400-85-11
Araz Binəqədi Minimarket,40.466389,49.829311,Mini,"Binəqədi rayonu, Gülməmməd Ramazanov küçəsi, (1 sayli qarışıq mallar mağazasi) 2-ci mədən, korpus 52",07:00 - 23:00,055 400 85 05
Araz 9-cu mkr Superstore,40.418823,49.811012,Superstore,"Binəqədi rayonu, 9-cu mikrorayon, Mir Cəlal küçəsi 59 K",07:00  - 00:00,055-400-85-14
Araz Neapol Minimarket,40.383411,49.966640,Mini,"Xətai rayonu, General Şıxlınski küçəsi 55",24\7,055 400 85 03
Araz Xəzər-3 Supermarket,40.367821,49.959778,Supermarket,"Xətai rayonu, Gəncə prospekti,  məhəllə 29/42",24\7,055-400-85-06
Araz Bayıl Superstore,40.330032,49.818501,Superstore,"Səbail rayonu, Salyan şössesi, 20-ci ünvan",24\7,055-400-85-08
Araz Novxanı Superstore,40.537113,49.783222,Superstore,"Abşeron rayonu, Novxanı kəndi",07:00 - 00:00,055-400-85-16
Araz Quba Supermarket,41.362682,48.522152,Supermarket,"Quba rayonu, Heydər Əliyev pr.",24\7,055-400-85-07
Yeni Günəşli-4 Minimarket,40.386673,49.982624,Mini,"Suraxanı rayonu, Samir Cəfərov, ev2, V massivi",07:30 - 23:00,055 864 95 30
Yeni Yasamal-1 Minimarket,40.399357,49.796963,Mini,"Yasamal rayonu, Yeni Yasamal 1, ev 1H",08:00 - 23:00,055 202 65 24
Araz Badamdar-2 Supermarket,40.338688,49.807571,Supermarket,"Səbail rayonu, Badamdar qəsəbəsi, Tofiq Məmmədov",07:00 - 23:00,055 202 65 46
Araz Yanvar 20-2 Minimarket,40.406013,49.811314,Mini,"Nəsimi rayonu, Məmmədcəfər Cəfərov küçəsi, 3006 məhəllə",07:00 - 23:00,055 201 83 73
Araz Yeni Yasamal Supermarket,40.378197,49.807732,Supermarket,"Yasamal rayonu, Mirəli Seyidov küçəsi",07:00 - 23:00,055 400 85 87
Araz Saray-2 Superstore,40.547703,49.712955,Superstore,"Abşeron rayonu, Saray qəsəbəsi, Məhəmməd Əsədov küçəsi",24\7,055 400 85 79
Araz Sumqayıt-6 Minimarket,40.576138,49.669239,Mini,"Sumqayıt şəhəri, Koroğlu küçəsi, 41-ci məhəllə, Koroğlu prospekti",24\7,055 226 51 10
Araz Xırdalan-4 Supermarket,40.459122,49.744308,Supermarket,"Xırdalan şəhəri, Nizami Gəncəvi küçəsi",07:00 - 23:00,055 414 24 74
Araz Nərimanov-4 Supermarket,40.403919,49.877850,Supermarket,"Nərimanov rayonu, Ə.Əliyev küçəsi",24\7,055 226 51 12
Araz N.Tusi Supermarket,40.376137,49.960976,Supermarket,"Xətai rayonu, N.Tusi küçəsi",07:00 - 23:00,055 300 83 77
Araz Qarabağ Supermarket,40.389351,49.857647,Supermarket,"Nərimanov rayonu, Qarabağ küçəsi",24\7,055 256 78 20
Araz 8-ci km-4 Supermarket,40.408443,49.958000,Supermarket,"Nizami rayonu, Cəmşid Naxçivanı küçəsi 90",07:00 - 23:00,055 500 74 67
Araz Binə-3 Supermarket,40.446709,50.089024,Supermarket,"Xəzər rayonu, Binə qəsəbəsi, Ə.İsazadə küçəsi",07:00 - 23:00,055 525 30 15
Araz Günəşli-5 Supermarket,40.383377,49.974869,Supermarket,"Suraxanı rayonu, Yeni Günəşli qəsəbəsi, AB massivi 127",07:00 - 23:00,055 500 97 76
Araz Azadlıq-2 Superstore,40.385242,49.844257,Superstore,"Nəsimi rayonu, Azadlıq prospekti və Vladislav Plotnikov küçəsinin kəsişməsi",24\7,055 900 08 11
Araz 8-ci km-5 Supermarket,40.402145,49.955322,Supermarket,"Nizami rayonu, B.Nuriyev küçəsi",07:00 - 23:00,055 900 67 88
Araz Bilgəh Supermarket,40.555054,50.022453,Supermarket,"Sabunçu rayonu, Nardaran qəsəbəsi, 9 Z saylı ərazi",07:00 - 23:00,055 900 67 89
Araz Məhəmmədi-3 Supermarket,40.509075,49.915836,Supermarket,"Abşeron rayonu, Məhəmmədi kəndi",07:00 - 23:00,055 900 67 25
Araz Hövsan-3 Superstore,40.360977,50.077820,Superstore,"Suraxanı rayonu, Elçin Məmmədov 5k",07:00 - 23:00,055 900 67 23
Araz Bakıxanov-5 Supermarket,40.416039,49.964676,Supermarket,"Sabunçu rayonu, Bakıxanov qəsəbəsi, Sakit Qocayev küçəsi 35",07:00 - 23:00,055 900 67 26
Araz Nərimanov-5  Minimarket,40.400349,49.870441,Mini,"Nərimanov rayonu, M.Məmmədzadə/Ə.Orucəliyev/N.Hacıyev küçələrinin kəsişməsində",24\7,055 900 67 42
Araz Sulutəpə-2 Minimarket,40.433952,49.773163,Mini,"Binəqədi rayonu, Sulutəpə qəsəbəsi, Ruslan Allahverdiyev küçəsi",07:00 - 02:00,055 400 85 29
Araz Nargilə-2 Supermarket,40.367275,49.941563,Supermarket,"Xətai rayonu, Zığ şossesi 8, blok 1",24\7,055 500 61 35
Araz Sulutəpə-3 Supermarket,40.432625,49.771278,Supermarket,"Binəqədi rayonu, Sulutəpə qəsəbəsi, R.Allahverdiyev küçəsi, ev 25F",24\7,055 300 83 90
Araz Badamdar-3 Minimarket,40.332138,49.802826,Mini,"Badamdar qəsəbəsi, 22-ci küçə, 3-cü massiv",08:00 - 23:00,055 515 85 21
Araz Hövsan-4 Supermarket,40.358704,50.067162,Supermarket,"Suraxanı rayonu, Hövsan qəsəbəsi, Oqtay Şabanov küçəsi",24\7,055 515 85 58
Araz Gəncə-3 Supermarket,40.688095,46.352371,Supermarket,"Gəncə şəhəri, Şəddadilər küçəsi",24\7,055 900 08 83
Araz 8-ci mkr-2 Superstore,40.417198,49.838631,Superstore,"Binəqədi rayonu, Cəfər Xəndan küçəsi (Tərgül ticarət mərkəzi)",07:00 - 23:00,055 900 67 47
Araz Abşeron-1 Superstore,40.470043,49.742256,Superstore,"Xırdalan şəhəri, Abşeron Gənclər şəhərciyi",08:00 - 23:00,055 900 28 15
Araz Əhmədli-6 Minimarket,40.394524,49.950237,Mini,"Nizami rayonu, Babək prospekti 64",07:00 - 00:00,055 900 28 60
Araz Ramana-1 Minimarket,40.477703,49.987919,Mini,"Sabunçu rayonu, Ramana qəsəbəsi, E.Məhərrəmli küçəsi",07:00 - 23:00,055 900 28 25
Araz Qutqaşınlı-1 Minimarket,40.372177,49.820423,Mini,"Yasamal rayonu, İ.Qutqaşınlı küç 85",07:00 - 23:00,055 900 28 26
Araz Mehdiabad-3 Supermarket,40.491539,49.855244,Supermarket,"Abşeron rayonu, Mehdiabad qəsəbəsi, 28 May küçəsi ev 1",07:00 - 02:00,055 900 28 65
Araz Xirdalan-5 Supermarket,40.460838,49.741203,Supermarket,"Xırdalan şəhəri, Nizami Gəncəvi küçəsi",07:00 - 23:00,055 900 28 46
Araz Nərimanov-8 Minimarket,40.396263,49.875515,Mini,"Nərimanov rayonu, Ə. Orucəliyev küçəsi 7",07:00 - 23:00,055 900 28 44
Araz Şəki Supermarket,41.200283,47.177299,Supermarket,"Şəki şəhəri, M.Ə.Rəsulzadə pr 169",07:00 - 23:00,055 900 28 64
Araz Nərimanov-6 Supermarket,40.394402,49.875912,Supermarket,"Nərimanov rayonu, Çaykovski küçəsi 10",08:00 - 00:00,055 900 28 93
Araz Sumqayıt-7 Supermarket,40.561623,49.694092,Supermarket,"Sumqayıt şəhəri, Koroğlu küçəsi 395, 10-cu mkr",08:00 - 00:00,055 900 28 90
Araz Qobustan Supermarket,40.071949,49.411850,Supermarket,"Qobustan qəsəbəsi, Bakı - Ələt yolunun 58-ci km-liyi",08:00 - 23:00,055 900 36 05
Araz Sumqayıt-8 Supermarket,40.569878,49.675194,Supermarket,"Sumqayıt şəhəri, 11-ci mikrorayon, Bədəlbəyli küçəsi 34A",08:00-23:00,055 900 36 04
Araz Hövsan 2 Minimarket,40.364113,50.073154,Mini,"Suraxanı rayonu, Hövsan qəsəbəsi, Elman Qasımov küçəsi 227 A",07:30 - 23:00,055 515 85 64
Araz Yevlax Minimarket,40.607880,47.149147,Mini,"Yevlax şəhəri, Məhəmməd Füzuli küçəsi",08:00 - 23:00,055 900 36 40
Araz Şuşa şəhəri Ekspress,39.762844,46.748207,Express,"Şuşa şəhəri, 20 Yanvar küçəsi",08:00 - 20:00,055 900 36 06
Araz Masazır 5 Supermarket,40.484329,49.756336,Supermarket,"Abşeron rayonu, Masazır qəsəbəsi, Əliağa Vahid küçəsi",08:00 - 23:00,055 900 96 44
